,Unnamed: 0,no,x,y,dX,dY,dX_m,dY_m,dmax,dmax_m,vel,probab,class,probab_test
10,11,11.0,150.0,150.0,-2.0,-13.0,-2.0,-13.0,13.152946437965904,13.152946437965904,13.152946437965904,0.3183571696281433,1.0,0.3183571696281433
11,12,12.0,250.0,150.0,-11.0,-3.0,-11.0,-3.0,11.40175425099138,11.40175425099138,11.40175425099138,0.9574766159057616,1.0,0.9574766159057616
12,13,13.0,350.0,150.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9954710006713868,1.0,0.9954710006713868
13,14,14.0,450.0,150.0,-10.0,-4.0,-10.0,-4.0,10.770329614269007,10.770329614269007,10.770329614269007,0.9996696710586548,1.0,0.9996696710586548
14,15,15.0,550.0,150.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.8326871991157532,1.0,0.8326871991157532
15,16,16.0,650.0,150.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.998810887336731,1.0,0.998810887336731
16,17,17.0,750.0,150.0,-10.0,-5.0,-10.0,-5.0,11.180339887498947,11.180339887498947,11.180339887498947,0.7690195441246033,1.0,0.7690195441246033
17,18,18.0,850.0,150.0,-15.0,2.0,-15.0,2.0,15.132745950421556,15.132745950421556,15.132745950421556,0.7905616760253906,1.0,0.7905616760253906
20,21,21.0,150.0,250.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9845826625823976,1.0,0.9845826625823976
21,22,22.0,250.0,250.0,-9.0,-7.0,-9.0,-7.0,11.40175425099138,11.40175425099138,11.40175425099138,0.8104221820831299,1.0,0.8104221820831299
22,23,23.0,350.0,250.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9840420484542848,1.0,0.9840420484542848
23,24,24.0,450.0,250.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.999926209449768,1.0,0.999926209449768
24,25,25.0,550.0,250.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.8774909973144531,1.0,0.8774909973144531
25,26,26.0,650.0,250.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999300241470336,1.0,0.9999300241470336
26,27,27.0,750.0,250.0,-6.0,-5.0,-6.0,-5.0,7.810249675906654,7.810249675906654,7.810249675906654,0.5606126189231873,1.0,0.5606126189231873
27,28,28.0,850.0,250.0,-10.0,-6.0,-10.0,-6.0,11.6619037896906,11.6619037896906,11.6619037896906,0.2219363749027252,1.0,0.2219363749027252
28,29,29.0,950.0,250.0,-15.0,0.0,-15.0,0.0,15.0,15.0,15.0,0.8502517938613892,1.0,0.8502517938613892
30,31,31.0,150.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999998807907104,1.0,0.9999998807907104
31,32,32.0,250.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9981555342674256,1.0,0.9981555342674256
32,33,33.0,350.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9985578656196594,1.0,0.9985578656196594
33,34,34.0,450.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9590036273002625,1.0,0.9590036273002625
34,35,35.0,550.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9989768266677856,1.0,0.9989768266677856
35,36,36.0,650.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.999996542930603,1.0,0.999996542930603
36,37,37.0,750.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,1.0,1.0,1.0
37,38,38.0,850.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999995231628418,1.0,0.9999995231628418
38,39,39.0,950.0,350.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.997959852218628,1.0,0.997959852218628
40,41,41.0,150.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999381303787231,1.0,0.9999381303787231
41,42,42.0,250.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.8876150250434875,1.0,0.8876150250434875
42,43,43.0,350.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.991383135318756,1.0,0.991383135318756
43,44,44.0,450.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9752569198608398,1.0,0.9752569198608398
44,45,45.0,550.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999991655349731,1.0,0.9999991655349731
45,46,46.0,650.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,1.0,1.0,1.0
46,47,47.0,750.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9940221905708312,1.0,0.9940221905708312
47,48,48.0,850.0,450.0,-9.0,-3.0,-9.0,-3.0,9.486832980505138,9.486832980505138,9.486832980505138,0.9997230172157288,1.0,0.9997230172157288
48,49,49.0,950.0,450.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9928152561187744,1.0,0.9928152561187744
50,51,51.0,150.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9993757605552672,1.0,0.9993757605552672
51,52,52.0,250.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9892600774765016,1.0,0.9892600774765016
52,53,53.0,350.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999998807907104,1.0,0.9999998807907104
53,54,54.0,450.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9998027682304382,1.0,0.9998027682304382
54,55,55.0,550.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.8431156873703003,1.0,0.8431156873703003
55,56,56.0,650.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999604225158693,1.0,0.9999604225158693
56,57,57.0,750.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.8740077018737793,1.0,0.8740077018737793
57,58,58.0,850.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9994981288909912,1.0,0.9994981288909912
58,59,59.0,950.0,550.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9984569549560548,1.0,0.9984569549560548
60,61,61.0,150.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.997593104839325,1.0,0.997593104839325
61,62,62.0,250.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9989351630210876,1.0,0.9989351630210876
62,63,63.0,350.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999979734420776,1.0,0.9999979734420776
63,64,64.0,450.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.7808997631072998,1.0,0.7808997631072998
64,65,65.0,550.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999847412109376,1.0,0.9999847412109376
65,66,66.0,650.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999945163726808,1.0,0.9999945163726808
66,67,67.0,750.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.998843550682068,1.0,0.998843550682068
67,68,68.0,850.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9189559817314148,1.0,0.9189559817314148
68,69,69.0,950.0,650.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9926207065582277,1.0,0.9926207065582277
70,71,71.0,150.0,750.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9992490410804749,1.0,0.9992490410804749
71,72,72.0,250.0,750.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9991490840911864,1.0,0.9991490840911864
72,73,73.0,350.0,750.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999620914459229,1.0,0.9999620914459229
73,74,74.0,450.0,750.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9021818041801452,1.0,0.9021818041801452
74,75,75.0,550.0,750.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9255468845367432,1.0,0.9255468845367432
75,76,76.0,650.0,750.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9961751699447632,1.0,0.9961751699447632
76,77,77.0,750.0,750.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,1.0,1.0,1.0
77,78,78.0,850.0,750.0,-12.0,-3.0,-12.0,-3.0,12.36931687685298,12.36931687685298,12.36931687685298,0.8452173471450806,1.0,0.8452173471450806
78,79,79.0,950.0,750.0,-7.0,0.0,-7.0,0.0,7.0,7.0,7.0,0.3028276562690735,1.0,0.3028276562690735
80,81,81.0,150.0,850.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999958276748656,1.0,0.9999958276748656
81,82,82.0,250.0,850.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9975793957710266,1.0,0.9975793957710266
82,83,83.0,350.0,850.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9997348189353944,1.0,0.9997348189353944
83,84,84.0,450.0,850.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9519701600074768,1.0,0.9519701600074768
84,85,85.0,550.0,850.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9597870707511902,1.0,0.9597870707511902
85,86,86.0,650.0,850.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9945040941238404,1.0,0.9945040941238404
86,87,87.0,750.0,850.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9996659755706788,1.0,0.9996659755706788
87,88,88.0,850.0,850.0,-11.0,-4.0,-11.0,-4.0,11.704699910719626,11.704699910719626,11.704699910719626,0.7917975187301636,1.0,0.7917975187301636
88,89,89.0,950.0,850.0,-5.0,-1.0,-5.0,-1.0,5.0990195135927845,5.0990195135927845,5.0990195135927845,0.9672995209693908,1.0,0.9672995209693908
90,91,91.0,150.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9498112797737122,1.0,0.9498112797737122
91,92,92.0,250.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.998480260372162,1.0,0.998480260372162
92,93,93.0,350.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9996950626373292,1.0,0.9996950626373292
93,94,94.0,450.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9799071550369264,1.0,0.9799071550369264
94,95,95.0,550.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9995538592338562,1.0,0.9995538592338562
95,96,96.0,650.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.999991536140442,1.0,0.999991536140442
96,97,97.0,750.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.9999866485595704,1.0,0.9999866485595704
97,98,98.0,850.0,950.0,-9.0,-2.0,-9.0,-2.0,9.219544457292889,9.219544457292889,9.219544457292889,0.999372661113739,1.0,0.999372661113739
98,99,99.0,950.0,950.0,-10.0,-3.0,-10.0,-3.0,10.44030650891055,10.44030650891055,10.44030650891055,0.5525346398353577,1.0,0.5525346398353577
