,Unnamed: 0,no,x,y,dX,dY,dX_m,dY_m,dmax,dmax_m,vel,probab,probab_test
0,0,0.0,50.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.91521018743515,0.91521018743515
1,1,1.0,150.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.5398855209350586,0.5398855209350586
2,2,2.0,250.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9997194409370422,0.9997194409370422
3,3,3.0,350.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9574700593948364,0.9574700593948364
4,4,4.0,450.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.6773532032966614,0.6773532032966614
5,5,5.0,550.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.8424703478813171,0.8424703478813171
6,6,6.0,650.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.998608410358429,0.998608410358429
7,7,7.0,750.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9995446801185608,0.9995446801185608
8,8,8.0,850.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9596980214118958,0.9596980214118958
9,9,9.0,950.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9954776167869568,0.9954776167869568
10,10,10.0,1050.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9911713004112244,0.9911713004112244
11,11,11.0,1150.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9776395559310912,0.9776395559310912
12,12,12.0,1250.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9975435137748718,0.9975435137748718
13,13,13.0,1350.0,50.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.993147075176239,0.993147075176239
14,14,14.0,50.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9659950137138368,0.9659950137138368
15,15,15.0,150.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.7554787993431091,0.7554787993431091
16,16,16.0,250.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.4896151721477508,0.4896151721477508
17,17,17.0,350.0,150.0,4.0,8.0,4.0,8.0,8.94427190999916,8.94427190999916,8.94427190999916,0.9901864528656006,0.9901864528656006
18,18,18.0,450.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9993557333946228,0.9993557333946228
19,19,19.0,550.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9385210275650024,0.9385210275650024
20,20,20.0,650.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.647683322429657,0.647683322429657
21,21,21.0,750.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9802154302597046,0.9802154302597046
22,22,22.0,850.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9989771842956544,0.9989771842956544
23,23,23.0,950.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9223344922065736,0.9223344922065736
24,24,24.0,1050.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9755654335021972,0.9755654335021972
25,25,25.0,1150.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.995575189590454,0.995575189590454
26,26,26.0,1250.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9999966621398926,0.9999966621398926
27,27,27.0,1350.0,150.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9219021797180176,0.9219021797180176
28,28,28.0,50.0,250.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.9074795246124268,0.9074795246124268
29,30,30.0,250.0,250.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.990297257900238,0.990297257900238
30,31,31.0,350.0,250.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.2176195085048675,0.2176195085048675
33,34,34.0,650.0,250.0,2.0,8.0,2.0,8.0,8.246211251235321,8.246211251235321,8.246211251235321,0.6107255816459656,0.6107255816459656
34,35,35.0,750.0,250.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.6513345837593079,0.6513345837593079
35,36,36.0,850.0,250.0,3.0,8.0,3.0,8.0,8.54400374531753,8.54400374531753,8.54400374531753,0.993520200252533,0.993520200252533
